id,branch_group,branch_no,name_en,name_zh,brand_en,brand_zh,category,subcategory,lat,lng,area,address_en,address_zh,best_time,tags,food_type,halal_status,price_level,recommended_duration_min,description_en,description_zh,why_visit_en,why_visit_zh,map_url,official_url,status,verification_status,last_checked,source_note,is_chain,is_food,is_temple,is_transport_related
sam-poh-tong,sam-poh-tong,1,Sam Poh Tong,三宝洞,Sam Poh Tong,三宝洞,temple,cave_temple,4.56164,101.11295,Gunung Rapat,Gunung Rapat,昆仑喇叭,morning|afternoon,cave|temple|limestone|heritage,,unknown,$,75,Famous cave temple along the Gunung Rapat temple cluster.,昆仑喇叭洞庙群中的著名洞庙。,Pairs well with Kek Lok Tong and nearby cave temples.,可与极乐洞和附近洞庙连成路线。,https://maps.google.com/?q=Sam+Poh+Tong,,active,community_suggested,2026-06-02,Seed civic data.,false,false,true,false
ling-sen-tong,ling-sen-tong,1,Ling Sen Tong,灵仙岩,Ling Sen Tong,灵仙岩,temple,cave_temple,4.55911,101.11331,Gunung Rapat,Gunung Rapat,昆仑喇叭,morning|afternoon,cave|temple|colorful|photo,,unknown,$,45,Colorful temple stop near Sam Poh Tong.,靠近三宝洞的彩色庙宇。,Adds a short and easy visual stop to the cave-temple chain.,为洞庙路线加入短而容易的拍照点。,https://maps.google.com/?q=Ling+Sen+Tong+Ipoh,,active,community_suggested,2026-06-02,Seed civic data.,false,false,true,false
nam-thean-tong,nam-thean-tong,1,Nam Thean Tong,南天洞,Nam Thean Tong,南天洞,temple,cave_temple,4.55875,101.11418,Gunung Rapat,Gunung Rapat,昆仑喇叭,morning|afternoon,cave|temple|limestone,,unknown,$,45,Cave temple close to Ling Sen Tong and Sam Poh Tong.,靠近灵仙岩与三宝洞的洞庙。,Good point-to-point link in the temple cluster.,在洞庙群中很适合作为点到点连接。,https://maps.google.com/?q=Nam+Thean+Tong+Ipoh,,active,community_suggested,2026-06-02,Seed civic data.,false,false,true,false
perak-tong,perak-tong,1,Perak Tong,霹雳洞,Perak Tong,霹雳洞,temple,cave_temple,4.64232,101.10526,Tasek,Jalan Kuala Kangsar,打昔方向,morning|afternoon,cave|temple|viewpoint|limestone,,unknown,$,90,Cave temple with limestone setting and a higher viewpoint walk.,有石灰岩景观和较高观景点的洞庙。,Better for visitors who want a more active temple stop.,适合想要多一点活动量的旅客。,https://maps.google.com/?q=Perak+Tong+Ipoh,,active,community_suggested,2026-06-02,Seed civic data.,false,false,true,false
qing-xin-ling,qing-xin-ling,1,Qing Xin Ling Leisure and Cultural Village,清心岭,Qing Xin Ling,清心岭,attraction,cultural_village,4.56332,101.11867,Gunung Rapat,Gunung Rapat,昆仑喇叭,morning|afternoon,limestone|culture|photo|family,,unknown,$$,90,Leisure village with limestone scenery and nostalgic photo corners.,有石灰岩风景和怀旧拍照角落的休闲文化村。,Works well with cave temples when transport is available.,有交通时可和洞庙区一起安排。,https://maps.google.com/?q=Qing+Xin+Ling+Ipoh,,active,community_suggested,2026-06-02,Verify ticketing before visiting.,false,false,false,false
mirror-world-ipoh,mirror-world,1,Mirror World Ipoh,镜子世界,Mirror World Ipoh,镜子世界,attraction,photo_attraction,4.56604,101.11962,Gunung Rapat,Gunung Rapat,昆仑喇叭,afternoon,photo|family|indoor,,unknown,$$,45,Photo attraction near Gunung Rapat leisure and cave temple areas.,靠近昆仑喇叭洞庙和休闲区的拍照景点。,Optional stop if travelling with family or photo-focused visitors.,适合家庭或喜欢拍照的旅客作为加点。,https://maps.google.com/?q=Mirror+World+Ipoh,,active,needs_verification,2026-06-02,Seed listing requires verification.,false,false,false,false
gunung-langat,gunung-langat,1,Gunung Lang Recreational Park,昆仑浪休闲公园,Gunung Lang Recreational Park,昆仑浪休闲公园,nature,recreation_park,4.63321,101.08234,Gunung Lang,Jalan Damai,昆仑浪,morning|afternoon,lake|park|limestone|family,,unknown,$,90,Limestone lake park north of the city.,市区北部的石灰岩湖景公园。,Good nature node if visitors have transport beyond Old Town.,若有交通工具，可作为旧街场外的自然节点。,https://maps.google.com/?q=Gunung+Lang+Recreational+Park,,active,community_suggested,2026-06-02,Seed civic data.,false,false,false,false
lost-world-tambun,lost-world,1,Lost World of Tambun,双威打扪迷失乐园,Lost World of Tambun,迷失乐园,attraction,theme_park,4.62528,101.15408,Tambun,Sunway City Ipoh,打扪,afternoon|evening|night,theme_park|hot_spring|family,,unknown,$$$,240,Theme park and hot spring destination outside the city centre.,市区外的主题乐园与温泉目的地。,Best as a separate half-day route rather than a quick city stop.,更适合半日路线，不适合匆匆顺路。,https://maps.google.com/?q=Lost+World+of+Tambun,,active,community_suggested,2026-06-02,Verify ticketing and opening hours.,false,false,false,false
tambun-hot-springs,tambun-hot-springs,1,Tambun Hot Springs Area,打扪温泉区,Tambun Hot Springs,打扪温泉,nature,hot_spring_area,4.6231,101.1532,Tambun,Tambun,打扪,evening|night,hot_spring|relax|family,,unknown,$$$,120,Relaxed hot spring area around Tambun attractions.,打扪景点周边的温泉休闲区域。,Useful evening extension after Tambun family attractions.,可作为打扪亲子景点后的晚上延伸。,https://maps.google.com/?q=Tambun+Hot+Springs+Ipoh,,active,needs_verification,2026-06-02,Area listing; verify exact venue.,false,false,false,false
tasik-cermin,tasik-cermin,1,Tasik Cermin,镜湖,Tasik Cermin,镜湖,nature,limestone_lake,4.57318,101.11458,Gunung Rapat,Gunung Rapat,昆仑喇叭,morning|afternoon,lake|limestone|photo|nature,,unknown,$$,90,Limestone mirror lake attraction near Gunung Rapat.,昆仑喇叭附近的石灰岩镜湖景点。,Strong visual node for travellers with car or ride-hailing.,有车或电召车时，是视觉效果很强的节点。,https://maps.google.com/?q=Tasik+Cermin+Ipoh,,active,community_suggested,2026-06-02,Verify ticketing before visiting.,false,false,false,false
tasik-cermin-2,tasik-cermin,2,Tasik Cermin 2,镜湖 2,Tasik Cermin,镜湖,nature,limestone_lake,4.57075,101.11398,Gunung Rapat,Gunung Rapat,昆仑喇叭,morning|afternoon,lake|limestone|photo|nature,,unknown,$$,75,Nearby mirror lake attraction often paired with Tasik Cermin routes.,常与镜湖路线一起考虑的附近湖景点。,Useful optional second nature point if the route has time.,时间充足时可作为第二自然点。,https://maps.google.com/?q=Tasik+Cermin+2+Ipoh,,active,needs_verification,2026-06-02,Verify naming and access before use.,false,false,false,false
eco-park-ipoh,eco-park,1,Kledang Saiong Forest Eco Park,近打森林生态公园,Kledang Saiong Forest Eco Park,森林生态公园,nature,forest,4.6122,101.0394,Menglembu,Near Menglembu,万里望附近,morning,forest|nature|walk,,unknown,$,120,Forest-side nature option west of Ipoh.,怡保西侧的森林自然选择。,For travellers who want a greener route away from Old Town.,适合想离开旧街场、走绿色路线的旅客。,https://maps.google.com/?q=Kledang+Saiong+Forest+Eco+Park,,active,needs_verification,2026-06-02,Verify exact access.,false,false,false,false
aeon-kinta-city,aeon-kinta,1,AEON Mall Kinta City,AEON 近打城,AEON Mall,AEON,shopping,mall,4.61834,101.11912,Kinta City,Jalan Teh Lean Swee,近打城,afternoon|evening|night,mall|shopping|indoor|family,,unknown,$$,90,Large mall option for indoor shopping and meals.,大型商场，适合室内购物和用餐。,Practical rainy-day or family-friendly node.,雨天或家庭路线很实用。,https://maps.google.com/?q=AEON+Mall+Kinta+City,,active,community_suggested,2026-06-02,Seed civic data.,true,false,false,false
ipoh-parade,ipoh-parade,1,Ipoh Parade,怡保百利广场,Ipoh Parade,怡保百利,shopping,mall,4.59596,101.09058,New Town,Jalan Sultan Abdul Jalil,新街场,afternoon|evening|night,mall|shopping|indoor,,unknown,$$,90,Central city mall near New Town food areas.,靠近新街场美食区的市中心商场。,"Useful indoor stop between lunch, dinner and night market routes.",午餐、晚餐和夜市路线之间的室内停靠点。,https://maps.google.com/?q=Ipoh+Parade,,active,community_suggested,2026-06-02,Seed civic data.,false,false,false,false
ang-sana-mall,ang-sana,1,Angsana Ipoh Mall,Angsana 怡保广场,Angsana Ipoh Mall,Angsana,shopping,mall,4.6107,101.1195,Greentown,Greentown,绿城,afternoon|evening,mall|shopping|indoor,,unknown,$$,75,Neighbourhood mall in the Greentown side of Ipoh.,绿城一带的社区商场。,Useful connector for Greentown dining or errands.,可连接绿城用餐或补给路线。,https://maps.google.com/?q=Angsana+Ipoh+Mall,,active,needs_verification,2026-06-02,Verify current mall naming.,false,false,false,false
de-box-mall,de-box,1,De Box Mall,De Box 商场,De Box Mall,De Box,shopping,mall,4.5926,101.0904,New Town,Ipoh,怡保,afternoon|evening,shopping|indoor,,unknown,$$,60,Small mall-style stop near central Ipoh.,怡保市区附近的小型商场停靠点。,Optional indoor buffer when nearby outdoor stops are too hot.,户外太热时可作为附近室内缓冲点。,https://maps.google.com/?q=De+Box+Mall+Ipoh,,active,needs_verification,2026-06-02,Verify current status.,false,false,false,false
pasar-besar-ipoh,pasar-besar,1,Pasar Besar Ipoh,怡保大巴刹,Pasar Besar Ipoh,怡保大巴刹,local_market,wet_market,4.5949,101.0815,New Town,Jalan Laxamana,新街场,morning,market|local|food|daily_life,market,mixed,$,45,Traditional market showing everyday local Ipoh life.,展现怡保日常生活的传统市场。,Best early node before coffee and old-town walking.,适合早上先走，再接白咖啡和旧街场。,https://maps.google.com/?q=Pasar+Besar+Ipoh,,active,community_suggested,2026-06-02,Seed civic data.,false,true,false,false
memory-lane,memory-lane,1,Memory Lane Flea Market,怡保跳蚤市场,Memory Lane,跳蚤市场,local_market,flea_market,4.59951,101.08484,New Town,Jalan Horley,新街场,morning,market|antiques|local|weekend,,unknown,$,60,Morning flea market known for second-hand finds and local browsing.,早市跳蚤市场，适合寻宝和感受本地气氛。,Adds a Sunday-morning route option beyond standard food stops.,让周日早上路线不只停留在美食。,https://maps.google.com/?q=Memory+Lane+Ipoh,,active,community_suggested,2026-06-02,Verify operating day.,false,false,false,false
plan-b-ipoh,plan-b,1,Plan B Ipoh,Plan B 怡保,Plan B,Plan B,cafe,modern_cafe,4.59652,101.07842,Old Town,Jalan Panglima,旧街场,afternoon|evening,cafe|heritage|indoor|western,cafe,mixed,$$$,75,Modern cafe in the heritage cluster near Kong Heng.,光兴附近旧建筑群里的现代咖啡馆。,Good rest point between walking lanes and museums.,适合在小巷和博物馆路线之间休息。,https://maps.google.com/?q=Plan+B+Ipoh,,active,community_suggested,2026-06-02,Seed civic data.,true,true,false,false
nam-heong-white-coffee,nam-heong,1,Nam Heong White Coffee,南香白咖啡,Nam Heong,南香,food,white_coffee,4.59541,101.08321,New Town,Jalan Bandar Timah,新街场,morning|noon|afternoon,white_coffee|kopitiam|breakfast|local_food,kopitiam,non_halal,$$,50,Classic Ipoh white coffee stop with kopitiam atmosphere.,经典怡保白咖啡茶室。,A practical food node between Old Town and New Town walks.,连接旧街场与新街场步行路线的实用美食点。,https://maps.google.com/?q=Nam+Heong+White+Coffee+Ipoh,,active,community_suggested,2026-06-02,Verify queue and opening hours.,false,true,false,false
sin-yoon-loong,sin-yoon-loong,1,Sin Yoon Loong,新源隆,Sin Yoon Loong,新源隆,food,white_coffee,4.59491,101.08295,New Town,Jalan Bandar Timah,新街场,morning|noon,white_coffee|kopitiam|breakfast,kopitiam,non_halal,$,45,Old-style white coffee kopitiam in New Town.,新街场老派白咖啡茶室。,Good alternative or comparison stop near Nam Heong.,可和南香比较，路线很近。,https://maps.google.com/?q=Sin+Yoon+Loong+Ipoh,,active,community_suggested,2026-06-02,Seed civic data.,false,true,false,false
sun-yuan-foong,sun-yuan-foong,1,Sun Yuan Foong,新源丰,Sun Yuan Foong,新源丰,food,white_coffee,4.59506,101.08349,New Town,Jalan Bandar Timah,新街场,morning|noon,white_coffee|kopitiam|breakfast,kopitiam,non_halal,$,45,Traditional kopitiam close to other white coffee landmarks.,靠近白咖啡名店的传统茶室。,Makes the white-coffee cluster easy to compare on foot.,方便步行比较白咖啡街区。,https://maps.google.com/?q=Sun+Yuan+Foong+Ipoh,,active,community_suggested,2026-06-02,Seed civic data.,false,true,false,false
lim-kee-cafe,lim-kee,1,Lim Kee Cafe,林记茶室,Lim Kee Cafe,林记,food,kopitiam,4.5953,101.0822,New Town,Jalan Bandar Timah,新街场,morning|noon,kopitiam|breakfast|local_food,kopitiam,mixed,$,45,Neighbouring kopitiam option in the white-coffee belt.,白咖啡街区附近的茶室选择。,Useful if the famous queues are too long.,名店排队太久时可作为替代点。,https://maps.google.com/?q=Lim+Kee+Cafe+Ipoh,,active,needs_verification,2026-06-02,Verify current operation.,false,true,false,false
funny-mountain,funny-mountain,1,Funny Mountain Soya Beancurd,奇峰豆腐花,Funny Mountain,奇峰,food,dessert,4.59651,101.08568,New Town,Jalan Theatre,新街场,noon|afternoon|evening,dessert|tau_fu_fah|snack|local_food,dessert,unknown,$,20,Famous smooth soya beancurd snack stop.,著名顺滑豆腐花小吃点。,Short high-reward stop near chicken rice and night routes.,靠近鸡饭和夜市路线，短暂停靠回报高。,https://maps.google.com/?q=Funny+Mountain+Ipoh,,active,community_suggested,2026-06-02,Queue and stock may vary.,false,true,false,false
lou-wong,lou-wong,1,Lou Wong Bean Sprout Chicken,老黄芽菜鸡,Lou Wong,老黄,food,bean_sprout_chicken,4.59641,101.08529,New Town,Jalan Yau Tet Shin,新街场,noon|evening|night,chicken_rice|bean_sprout|local_food,chicken_rice,non_halal,$$,60,Classic Ipoh bean sprout chicken restaurant.,经典怡保芽菜鸡餐馆。,Core dinner node near Funny Mountain and Gerbang Malam.,晚餐核心节点，靠近奇峰和夜市街。,https://maps.google.com/?q=Lou+Wong+Ipoh,,active,community_suggested,2026-06-02,Seed civic data.,false,true,false,false
onn-kee,onn-kee,1,Onn Kee Bean Sprout Chicken,安记芽菜鸡,Onn Kee,安记,food,bean_sprout_chicken,4.59669,101.08508,New Town,Jalan Yau Tet Shin,新街场,noon|evening|night,chicken_rice|bean_sprout|local_food,chicken_rice,non_halal,$$,60,Popular bean sprout chicken option on the same food street.,同一美食街上的人气芽菜鸡选择。,Easy alternate if nearby restaurants are crowded.,附近餐馆太多人时容易替换。,https://maps.google.com/?q=Onn+Kee+Ipoh,,active,community_suggested,2026-06-02,Seed civic data.,false,true,false,false
thean-chun,thean-chun,1,Thean Chun Coffee Shop,天津茶室,Thean Chun,天津,food,kopitiam,4.59661,101.0782,Old Town,Jalan Bandar Timah,旧街场,morning|noon|afternoon,kopitiam|kai_see_hor_fun|custard|local_food,kopitiam,non_halal,$$,60,Old Town kopitiam known for hor fun and custard.,旧街场茶室，以河粉和炖蛋闻名。,Excellent food node right beside heritage lanes.,靠近历史小巷，是很强的美食节点。,https://maps.google.com/?q=Thean+Chun+Ipoh,,active,community_suggested,2026-06-02,Verify opening days.,false,true,false,false
kong-heng-kopitiam,kong-heng-kopitiam,1,Kong Heng Kopitiam,光兴茶室,Kong Heng,光兴,food,kopitiam,4.59652,101.07847,Old Town,Jalan Bandar Timah,旧街场,morning|noon|afternoon,kopitiam|heritage|local_food,kopitiam,non_halal,$$,60,Old Town kopitiam in the heritage cluster.,旧街场历史建筑群里的茶室。,Pairs directly with Concubine Lane and Kong Heng Square.,可直接接二奶巷和光兴广场。,https://maps.google.com/?q=Kong+Heng+Kopitiam+Ipoh,,active,community_suggested,2026-06-02,Seed civic data.,false,true,false,false
sin-eng-heong,sin-eng-heong,1,Sin Eng Heong,新荣香,Sin Eng Heong,新荣香,food,pastry,4.5932,101.08458,New Town,Jalan Mustapha Al-Bakri,新街场,morning|noon|afternoon,pastry|souvenir|heong_piah,pastry,non_halal,$$,25,Popular pastry and souvenir shop.,受欢迎的糕饼和手信店。,Good takeaway stop before leaving the city centre.,离开市区前适合买手信。,https://maps.google.com/?q=Sin+Eng+Heong+Ipoh,,active,community_suggested,2026-06-02,Seed civic data.,false,true,false,false
yee-hup,yee-hup,1,Yee Hup,义合,Yee Hup,义合,food,pastry,4.5958,101.0873,New Town,Ipoh,怡保,morning|noon|afternoon,pastry|souvenir|heong_piah,pastry,unknown,$$,25,Famous Ipoh pastry brand for souvenirs.,著名怡保糕饼手信品牌。,Useful souvenir node after central food route.,吃完市区美食后可顺路买手信。,https://maps.google.com/?q=Yee+Hup+Ipoh,,active,community_suggested,2026-06-02,Verify branch before visiting.,true,true,false,false
guan-heong,guan-heong,1,Guan Heong Biscuit Shop,源香饼家,Guan Heong,源香,food,pastry,4.59281,101.0851,New Town,Jalan Sultan Iskandar,新街场,morning|noon|afternoon,pastry|souvenir|local_food,pastry,non_halal,$$,25,Heritage biscuit shop and souvenir stop.,传统饼家和手信点。,Adds a practical takeaway stop to the New Town loop.,为新街场路线加入实际手信停靠点。,https://maps.google.com/?q=Guan+Heong+Ipoh,,active,community_suggested,2026-06-02,Seed civic data.,false,true,false,false
ming-court,ming-court,1,Ming Court Hong Kong Dim Sum,明阁香港点心,Ming Court,明阁,food,dim_sum,4.5961,101.08968,New Town,Jalan Leong Sin Nam,新街场,morning|noon,dim_sum|breakfast|local_food,dim_sum,non_halal,$$,70,Busy dim sum restaurant in New Town.,新街场热闹点心店。,Strong morning food node before shopping or Old Town.,早上可先吃点心，再接商场或旧街场。,https://maps.google.com/?q=Ming+Court+Ipoh,,active,community_suggested,2026-06-02,Expect queues.,false,true,false,false
foh-san,foh-san,1,Foh San Dim Sum,富山点心,Foh San,富山,food,dim_sum,4.59654,101.09009,New Town,Jalan Leong Sin Nam,新街场,morning|noon,dim_sum|breakfast|local_food,dim_sum,non_halal,$$,70,Large well-known dim sum restaurant.,大型知名点心餐馆。,Easy comparison stop near Ming Court and New Town attractions.,靠近明阁，方便比较和安排新街场路线。,https://maps.google.com/?q=Foh+San+Ipoh,,active,community_suggested,2026-06-02,Expect queues.,false,true,false,false
chooi-yue,chooi-yue,1,Chooi Yue Dim Sum,财悦点心,Chooi Yue,财悦,food,dim_sum,4.5969,101.0891,New Town,Ipoh,怡保,morning|noon,dim_sum|breakfast,dim_sum,non_halal,$$,60,Dim sum option in the New Town morning cluster.,新街场早餐点心区的选择之一。,Useful alternate when the famous two are full.,富山和明阁太满时可作为替代。,https://maps.google.com/?q=Chooi+Yue+Dim+Sum+Ipoh,,active,needs_verification,2026-06-02,Verify current status.,false,true,false,false
